Games	Wins	Winning percent
1222	550	0.450082
1223	551	0.450531
1224	551	0.450163
1225	552	0.450612
1226	553	0.45106
1227	554	0.451508
1228	555	0.451954
1229	555	0.451587
1230	555	0.451219
1231	556	0.451665
1232	556	0.451299
1233	556	0.450933
1234	556	0.450567
1235	557	0.451012
1236	557	0.450647
1237	558	0.451091
1238	558	0.450727
1239	558	0.450363
1240	558	0.45
1241	559	0.450443
1242	559	0.450081
1243	560	0.450523
1244	561	0.450965
1245	561	0.450602
1246	562	0.451043
1247	563	0.451484
1248	563	0.451122
1249	563	0.450761
1250	563	0.4504
1251	564	0.450839
1252	565	0.451278
1253	565	0.450918
1254	565	0.450558
1255	566	0.450996
1256	566	0.450637
1257	566	0.450278
1258	567	0.450715
1259	567	0.450357
1260	567	0.45
1261	568	0.450436
1262	568	0.450079
1263	569	0.450515
1264	570	0.450949
1265	571	0.451383
1266	571	0.451027
1267	572	0.45146
1268	573	0.451893
1269	574	0.452325
1270	574	0.451968
1271	575	0.4524
1272	576	0.45283
1273	577	0.45326
1274	577	0.452904
1275	577	0.452549
1276	577	0.452194
1277	577	0.45184
1278	578	0.452269
1279	579	0.452697
1280	579	0.452344
1281	579	0.451991
1282	579	0.451638
1283	579	0.451286
1284	579	0.450935
1285	579	0.450584
1286	579	0.450233
1287	579	0.449883
1288	580	0.450311
1289	580	0.449961
1290	580	0.449612
1291	581	0.450039
1292	581	0.44969
1293	581	0.449343
1294	581	0.448995
1295	581	0.448649
1296	581	0.448302
1297	581	0.447957
1298	581	0.447612
1299	582	0.448037
1300	583	0.448462
1301	584	0.448885
1302	584	0.448541
1303	584	0.448196
1304	584	0.447853
1305	585	0.448276
1306	586	0.448698
1307	586	0.448355
1308	586	0.448012
1309	587	0.448434
1310	588	0.448855
1311	589	0.449275
1312	590	0.449695
1313	591	0.450114
1314	591	0.449772
1315	592	0.45019
1316	592	0.449848
1317	593	0.450266
1318	593	0.449924
1319	593	0.449583
1320	594	0.45
1321	594	0.449659
1322	594	0.449319
1323	595	0.449735
1324	595	0.449396
1325	595	0.449057
1326	596	0.449472
1327	597	0.449887
1328	597	0.449548
1329	598	0.449962
1330	599	0.450376
1331	600	0.450789
1332	600	0.45045
1333	601	0.450863
1334	601	0.450525
1335	601	0.450187
1336	602	0.450599
1337	602	0.450262
1338	602	0.449925
1339	603	0.450336
1340	603	0.45
1341	604	0.45041
1342	605	0.45082
1343	605	0.450484
1344	606	0.450893
1345	606	0.450558
1346	607	0.450966
1347	608	0.451373
1348	609	0.45178
1349	610	0.452187
1350	610	0.451852
1351	610	0.451517
1352	611	0.451923
1353	611	0.451589
1354	612	0.451994
1355	612	0.451661
1356	612	0.451327
1357	612	0.450995
1358	613	0.451399
1359	614	0.451803
1360	614	0.451471
1361	614	0.451139
1362	614	0.450808
1363	614	0.450477
1364	614	0.450147
1365	615	0.450549
1366	615	0.45022
1367	616	0.450622
1368	616	0.450292
1369	617	0.450694
1370	617	0.450365
1371	617	0.450036
1372	617	0.449708
1373	617	0.449381
1374	617	0.449054
1375	617	0.448727
1376	618	0.449128
1377	618	0.448802
1378	618	0.448476
1379	618	0.448151
1380	619	0.448551
1381	619	0.448226
1382	619	0.447902
1383	619	0.447578
1384	619	0.447254
1385	620	0.447653
1386	620	0.44733
1387	621	0.447729
1388	621	0.447406
1389	622	0.447804
1390	622	0.447482
1391	622	0.44716
1392	623	0.447557
1393	624	0.447954
1394	625	0.44835
1395	625	0.448029
1396	626	0.448424
1397	627	0.448819
1398	628	0.449213
1399	628	0.448892
1400	629	0.449286
1401	630	0.449679
1402	631	0.450071
1403	631	0.449751
1404	631	0.44943
1405	631	0.44911
1406	631	0.448791
1407	631	0.448472
1408	631	0.448153
1409	631	0.447835
1410	631	0.447518
1411	631	0.447201
1412	631	0.446884
1413	632	0.447275
1414	632	0.446959
1415	633	0.44735
1416	633	0.447034
1417	634	0.447424
1418	634	0.447109
1419	635	0.447498
1420	635	0.447183
1421	635	0.446868
1422	635	0.446554
1423	635	0.44624
1424	636	0.446629
1425	636	0.446316
1426	637	0.446704
1427	637	0.446391
1428	638	0.446779
1429	639	0.447166
1430	640	0.447552
1431	641	0.447939
1432	641	0.447626
1433	642	0.448011
